product_name;group_id;family_id;subfamily_id;segment_id
Terrine aux 2 poissons kg;894001;945001;1256001;2284001
Quatre quart chocolat 40 g;885001;898001;978001;1425001
Quatre quart 30/40 g;885001;898001;978001;1425001
Couronne de filet d'abadèche et de saumon sg kg;889001;935001;1158001;1981001
Abricot au naturel bt 5/1;885001;916001;1063001;1634001
Abondance kg;887001;937001;1179001;2060001
Abricot oreillons rangés au sirop bt 3/1;885001;916001;1063001;1634001
Abrasif rouleau noir 3 m;890001;947001;1275001;2366001
Abricot sec sachet 50 g;885001;908001;1024001;1553001
Confiture d'abricot pot verre 25/30 g;885001;916001;1059001;1626001
Abricot kg;893001;938001;1190001;2092001
Abricotine en bande 600 g;889001;935001;1159001;1990001
Abricot kg;893001;938001;1190001;2092001
Abricot au naturel bt 4/4;885001;916001;1063001;1634001
Abricot sec 12,5 kg;885001;908001;1024001;1553001
Abricot au sirop bt 4/4;885001;916001;1063001;1634001
Dessert pomme abricot frais coupelle plast. 100 g;887001;936001;1175001;2051001
Abricot sec 500 g;885001;908001;1024001;1553001
Abricot sec moelleux bq 5 kg;885001;908001;1024001;1553001
Abricot sec 1 kg;885001;908001;1024001;1553001
Abricot au sirop léger bt 5/1;885001;916001;1063001;1634001
Abricot sec moelleux sachet 1 kg;885001;908001;1024001;1553001
Abrasif rouleau noir 5 m;890001;947001;1275001;2366001
Abricot au sirop bt 1/2;885001;916001;1063001;1634001
Abrasif rouleau vert 5 m;890001;947001;1275001;2366001
Abricot sec entier 250 g;885001;908001;1024001;1553001
Abricot au sirop bt 3/1;885001;916001;1063001;1634001
Abrasif rouleau vert 3 m;890001;947001;1275001;2366001
Abricot sec 250 g;885001;908001;1024001;1553001
Sablé vanille s/sucre ajouté (x2) 25 g;885001;898001;979001;1431001
Gâteau coco ananas framboise bande sg 700 g;889001;935001;1159001;1990001
Achards de chouchou s/v kg;893001;939001;1205001;2170001
Achatines (10 dz) bt 4/4;885001;920001;1084001;1730001
Acras de morue sg 900 g;889001;935001;1157001;1978001
Acras de morue sg kg;889001;935001;1157001;1978001
Assouplissant pour linge bidon 5/6 lt;890001;946001;1259001;2300001
Agent de démoulage bombe 300 ml;885001;904001;1010001;1523001
Agent de démoulage seau 8 kg;885001;904001;1010001;1523001
Agent de démoulage liquide 8 kg;885001;904001;1010001;1523001
Agent anticalcaire 5 kg;890001;946001;1261001;2305001
Agent de démoulage seau 4 kg;885001;904001;1010001;1523001
Agneau entier n°2 halal kg;888001;944001;1244001;2263001
Agneau cuisiné déshydraté bt kg;885001;920001;1087001;1742001
